topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
46,33243,1000226,lower,False,"If you don't have cards or dice and there are many people, it will be a good choice.",have,have,have,do
46,108045,1000298,lower,False,"If you get 85 points, you are the winner.",get,get,get,
46,23371,1000591,lower,False,"For example, if there are ten persons, then we just need nine chairs.",are,be,need,
46,171821,1000674,lower,False,"If they can't guess the word, they lose their turn.",guess,guess,lose,
46,3519,1001767,lower,False,"First, if it's your turn to close eyes.",turn,turn,'s,
46,3519,1001767,lower,False,"If you can find them in the limited time, you will win.",find,find,win,will
46,142136,1002611,lower,False,"If the other person guesses it out, it is your turn to guess something.",guesses,guess,guesses,
46,93830,1002629,lower,False,"If you are a seeker, you have to blindfold with a big handkerchief.",seeker,seeker,have,
46,93830,1002629,lower,False,"If the hider disobeys the rule, then he loses his turn and becomes a seeker.",disobeys,disobey,loses,
46,103906,1002771,lower,False,If the landlord wins then the civilians lose.,wins,win,lose,
46,103906,1002771,lower,False,"If the players can't, he loses the game.",ca,can,loses,
46,105516,1002857,lower,False,"If that person can guess correctly in 1 minute, that means you can continue next.",guess,guess,means,
46,105516,1002857,lower,False,"If not, the game ends.",not,not,ends,
46,85790,1003416,lower,False,"This game is an action game where you are a Greek god battling monsters of the past, and if you are hit several times and eventually you die, the game is pretty fun, but a little violent, but I like it because I love action and a good adventure.",are,be,is,
46,63844,1003704,lower,False,"So, if not, he has to get a card until it's greater than that one.",not,not,has,
46,63844,1003704,lower,False,"If you give all cards in hand, you win and get out.",give,give,win,
46,164944,1004547,lower,False,"You win the game if you make 3,000 points.",make,make,win,
46,164944,1004547,lower,False,If you make a sequence with seven cards you gain 200 points.,make,make,gain,
46,164944,1004547,lower,False,"The number 2 is called joker, if you put the joker in your sequence of cards that is value 100 points.",put,put,called,is
46,139796,1004791,lower,False,"If you and another player write the same word, you score less points.",write,write,score,
46,53890,1005051,lower,False,"If he says 'Tuesday,e the next player has to say a word that starts with 'y,e like 'yellow.e Sometimes, players are only allowed to use food words.",says,say,has,
46,60754,1006288,lower,False,This is an opportunity if we make the same moves that the soccer players make.,make,make,is,
46,110419,1006724,lower,False,"If you hold your finger for one second, your spaceship shoots.",hold,hold,shoots,
46,110419,1006724,lower,False,"If you hold your finger for a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,85923,10074,lower,False,"If anything works, don't miss your hope and keep trying it is for save your money.",works,work,miss,do
46,109267,1007939,lower,False,If a player of your team guesses the word you are the winners.,guesses,guess,guesses,
46,58703,1010284,lower,False,"The game is end, if the players want this.",want,want,is,
46,34064,1010946,lower,False,"There is one thing I don't like about this game, because sometimes this game can take too long if you to play with beginners .",play,play,is,
46,75311,1011665,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,75311,1011665,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,75311,1011665,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,133394,1012701,lower,False,"If you are tired of playing video games and want to have another option to enjoy with your friends, you need to know of a cards game called Truco.",tired,tired,need,
46,133394,1012701,lower,False,"In other words if you play with 4 players, the game must be played with 2 teams of 2 players, or if you play with 6 players, the game will be played by 2 teams of 3 players.",play,play,played,must
46,133394,1012701,lower,False,"For example, if you turned the card no.",turned,turn,turned,
46,133394,1012701,lower,False,"4, the best cards will be all cards of number 5; or if you turned the card no 5, the best cards will be all of the cards of number 6, always this sequence.",turned,turn,be,
46,133394,1012701,lower,False,"In other words, if you turned a card of number 7, the best cards will be the queens because the cards with numbers 8, 9 and 10 will be excluded from this game.%%",turned,turn,turned,
46,133394,1012701,lower,False,"But if you to think that you have card better then you opponent you can also yell six, because this time you are rising the betting.",think,think,yell,can
46,133394,1012701,lower,False,"If you accept the challenging of truce, the score pass from 1 to 3 scores.",accept,accept,pass,
46,158920,1012864,lower,False,"If you hold your finger for two seconds, Naruto jumps.",hold,hold,jumps,
46,158920,1012864,lower,False,"If you hold for one second, he bites the enemy.",hold,hold,bites,
46,124844,1013216,lower,False,"If the adjacent square contains an opponent piece, it may be captured (and removed from the game) by jumping over it to the unoccupied square immediately beyond it.",contains,contain,captured,may
46,67802,1013456,lower,False,You are not allowed to move for a time if you get number 9.,get,get,allowed,are
46,8799,1013988,lower,False,"If he guesses who you are describing, he scores a point.",guesses,guess,scores,
46,11928,1016861,lower,False,Truco is also a game of bluffing if you impeach the game and nobody pays to see you win.,impeach,impeach,is,
46,115879,101731,lower,False,You will feel better if you do a little exercise everyday.,do,do,feel,will
46,120772,1017395,lower,False,"Often hand of poker is played for money, it is a dangerous game that if you take the risk of losing many money.",take,take,played,is
46,70301,1017424,lower,False,"If you don''t finish the goals, you lose.",finish,finish,lose,
46,70301,1017424,lower,False,"If you finish, you pass to the next level.",finish,finish,pass,
46,2267,1018104,lower,False,"Then, you can choose if you want to attack an opposite player or move the tank from one to another country you have.",want,want,choose,can
46,2267,1018104,lower,False,"If your choice is to attack, you can roll the dice 3 times, also the opposite player must roll the dice and if you win, you have conquered her country.",attack,attack,roll,can
46,7963,1018825,lower,False,"If you get a kick or punch from a thief, you lose energy.",get,get,lose,
46,7963,1018825,lower,False,"If you get more than one damage, you loose your life and consequently the game.",get,get,loose,
46,7963,1018825,lower,False,"If you win the fight against a boss, you win the game.",win,win,win,
46,8976,1019553,lower,False,"Every seat on the table symbolizes a kind of economic activity where to have to pay for investment, pay taxes or to earn the money if other players move on your property.",move,move,symbolizes,
46,174644,101994,lower,False,"It would be much easier for you, to resist your addiction, if you won''t be able to buy clothes spontaneously.",able,able,be,
46,45802,1020580,lower,False,"If you succeed in it, you score a point.",succeed,succeed,score,
46,117875,1022443,lower,False,"If it's a 5, you have to put a 6 or a 4.",5,5,have,
46,134399,1022594,lower,False,"The enemies try to catch pac men, if an enemies touch a pac man, one life is lost.",touch,touch,try,
46,146252,1022710,lower,False,"You give every cards to the players and put one on the table, the first player have to put one similar card put the first, if he does not have a similar type of card, he loses his turn.",have,have,give,
46,155592,1024224,lower,False,"If the shooting was missed, it is turn to the team who gets the rebound to start their offense from the half-court line.",missed,miss,turn,is
46,163167,1024246,lower,False,You can put on the table three or more cards if they are the same color and in straight or if they are the same number.,color,color,put,can
46,43023,1024460,lower,False,"For example, if the color in table is red, you should put red color, and if the card on table is red and number for it is 3, you can put another color, but the same number.",red,red,put,should
46,43023,1024460,lower,False,"Other example, if the card in table 6 - green, you can put any number from the same color or put other color with the same number.",green,green,put,can
46,139251,1025444,lower,False,"For the next turn, you are allowed to change the board if you want.",want,want,allowed,are
46,160074,1025740,lower,False,"If it's your turn, you have to throw the dice and move.",turn,turn,have,
46,160074,1025740,lower,False,If you stop at my hotel you'll give me 100 dollars.,stop,stop,give,'ll
46,160074,1025740,lower,False,If you don't have money I'll be the winner and you will be finish.,have,have,have,do
46,92894,1027192,lower,False,"If, for example, you get five, you must move your game piece five spaces.",get,get,move,must
46,92894,1027192,lower,False,"If you land on a place, you can buy it or do nothing.",land,land,buy,can
46,157626,102723,lower,False,"Avoid any place that reminds you to buy, such as the Internet shopping or even if you can not avoid tocontrol yourself, do not take cash ora credit card, so it will be even more difficult, even wanting to buy whenyou can not.",avoid,avoid,Avoid,
46,3695,1027487,lower,False,"If he says 'Tuesday,' the next player has to say a word that starts with 'y,' like 'yellow.'",says,say,has,
46,142975,1027910,lower,False,"If two players have similar words they get five points, players with different words get ten points.",have,have,get,
46,91366,1030156,lower,False,"If you don't stay the base, the fielding tag you who will get out.",stay,stay,tag,
46,35492,1030542,lower,False,If you hold it for two seconds your spaceship shoots.,hold,hold,shoots,
46,35492,1030542,lower,False,"If you hold your finger a long time, you get the door of destruction.",hold,hold,get,
46,31601,1030666,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,31601,1030666,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,31601,1030666,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,76367,1030927,lower,False,If you do not have the Internet you can play against a robot computer.,have,have,play,can
46,4089,1031533,lower,False,"You have to be careful, if not they die easily.",die,die,have,
46,78073,1032011,lower,False,"Resident evil is a kind of video game, you have to fight against zombies and destroy them, you have to collect weapons and solve puzzles to know more about the history of the virus that transforms everyone into zombie, you're not allowed to kill or attack your partner, you're not allowed to kill people or to hit someone only if it is a zombie or something like that.",zombie,zombie,is,
46,39844,1032063,lower,False,If you don''t do the same dance steps you lose points.,do,do,lose,
46,72416,1032617,lower,False,If they guess the team gets the number of points indicated on the card.,guess,guess,guess,
46,72416,1032617,lower,False,If they don't get a card take the other team.,get,get,take,
46,31234,1032751,lower,False,"If the cards you choose are of the same number, you can get them.",number,number,get,can
46,31234,1032751,lower,False,"If the cards are not of the same number, you have to take your turn later.",number,number,have,
46,64981,103296,lower,False,"If you get involved in different activities, you won'thave time to go shopping and spend your money.",get,get,won'thave,
46,25455,1034681,lower,False,"When you die, you return, if you die a lot, your team will be the loser.",die,die,return,
46,25455,1034681,lower,False,"If you kill the people and don't die, you take a gift, with this giftu, you can kill many people at the same time.",kill,kill,take,
46,117021,1034831,lower,False,"If the first player gives you a letter from the word, you are allowed to draw a part of the word.",gives,give,allowed,are
46,117021,1034831,lower,False,"If you complete the word, you need to say FORCA, and you are the winner.",complete,complete,need,
46,62109,1034985,lower,False,"There are defense blocks above your spaceship that can avoid the aliens' shoots to hit you, but that defense blocks are damaged if a shoot hits them, thus, if several shoots hit the block it is destroyed and no one can protect your spaceship from the bullets.",hits,hit,are,
46,62109,1034985,lower,False,"As your shoots hit the aliens, the others aliens in the group come down faster and if they reach your ship before you can kill all of them, you loose the game.",reach,reach,come,
46,18706,1035887,lower,False,The stones are removed from the board if they are captured.,are,be,removed,are
46,100031,1037859,lower,False,"For example, if you have two persons in your family, you have to buy four foods at season ending.",have,have,have,
46,59389,1038249,lower,False,"If you are the banker, you draw 14 CARDS, the other three draws 13 CARDS.",banker,banker,draw,
46,21774,1038602,lower,False,"If you have two of the same cards, you are allowed to accept other players' same card, you have three same cards as a group, you have to play out a card to possess thirteen cards in your space.",have,have,allowed,are
46,21774,1038602,lower,False,"If you have two continued number cards, you may accept your former player's in order to match the three continued number cards as a group.",have,have,accept,may
46,21774,1038602,lower,False,"If you take a same card or the other players run out a same card with you, you win.",take,take,win,
46,151695,1038998,lower,False,"If you were caught by him, you will replace him until you catch one.",caught,catch,replace,will
46,138623,1039063,lower,,"Everyone are not allowed to say out 'three' or the multiples of three, if someone foul, he / she will get the punish like tell jokes to make everyone laugh or sing a song and so on, the foul people have to begin with a number not 'three' or the multiples of three.",foul,foul,allowed,are
46,138623,1039063,lower,False,"Remember that the people have to say the number quickly, if someone reacts a bit slow, he / she will get the punish.%%",reacts,react,Remember,
46,163882,1040252,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,163882,1040252,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,163882,1040252,lower,False,"If you hold your finger a long time, you get the Door of Destruction:A special door opens and destroys 50 aliens.",hold,hold,get,
46,155946,1040415,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,155946,1040415,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,155946,1040415,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,172874,1040634,lower,False,"If someone of the team can't guess the answer in 5 minutes, they will lose one chance.",guess,guess,lose,will
46,161022,1040652,lower,False,"If five pieces of black or white on a row and column and even the oblique line forms fist, then the first forming one is the winner.",forms,form,forms,
46,99908,1040911,lower,False,"First, you have to roll the dices, and if you get the numbers are six, you are allowed to roll it again, if you roll the different numbers, you just can move the chess to the numbers.",get,get,have,
46,74853,1040955,lower,False,"If the situation is very complicated obviously to show the winner, one player could stop and give up.",complicated,complicated,stop,could
46,107436,1043802,lower,False,"If you'll play with other player, each choose a team.",play,play,choose,
46,36307,104509,lower,False,If you work hard you can find a way to encourage yourself.,work,work,find,can
46,36307,104509,lower,False,"If your habit is shopping,spaceyou must stop it!",shopping,shop,stop,must
46,36307,104509,lower,False,If you want to shopping you can talk with your friend .,want,want,talk,can
