topicID;levelNumber;CEFR level;unit;topic
46;6;A2;6;Writing an email of advice
59;8;B1;3;Making a 'to do' list of your dreams
67;9;B1;3;Making a business proposal
68;9;B1;4;Signing a waiver to go skydiving
73;10;B2;1;Helping a friend find a job
74;10;B2;2;Doing a survey about discrimination
75;10;B2;3;Requesting a bank loan
77;10;B2;5;Finding a home for a wealthy client
82;11;B2;2;Helping a coworker deal with a phobia
88;11;B2;8;Improving your study skills
97;13;C1;1;Writing a campaign speech
100;13;C1;4;Giving advice about budgeting
104;13;C1;8;Reaching your potential
106;14;C1;2;Choosing a renewable energy source
107;14;C1;3;Writing a rejection letter
108;14;C1;4;Attending a seminar on stress reduction
109;14;C1;5;Talking a friend out of a risky action
110;14;C1;6;Applying for sponsorship
119;15;C1;7;Writing about future lifestyles
120;15;C1;8;Interpreting a prophecy
